Offender_isMale,Offender_ethnicAppearance,Offender_Age,DASH_Assessment,AccHowKnown,Known 1,Known 2,ProceedingsType,Previous_Crimes,Crimes in pre 1,Previous_DV,DV in Pre 1
1,6,31.0,2,4,0,1,0,31.0,0,31.0,0
0,3,26.0,1,0,0,0,0,26.0,0,26.0,0
1,6,27.0,0,4,0,1,0,27.0,0,27.0,0
0,6,34.0,0,0,0,0,3,34.0,0,34.0,0
1,3,22.0,1,3,0,0,2,22.0,0,22.0,0
0,4,57.0,1,2,1,1,0,57.0,0,57.0,0
0,7,43.0,0,2,1,1,0,43.0,0,43.0,0
1,3,18.0,0,4,0,1,3,18.0,0,18.0,0
0,3,26.0,2,0,0,0,0,26.0,0,26.0,0
0,6,20.0,1,1,0,1,0,20.0,0,20.0,0
0,6,19.0,0,0,0,0,0,19.0,0,19.0,0
0,2,51.0,1,2,1,1,0,51.0,0,51.0,0
0,3,23.0,1,1,0,1,0,23.0,1,23.0,0
0,5,33.0,0,2,1,1,0,33.0,0,33.0,0
0,6,25.0,1,1,0,1,0,25.0,1,25.0,0
0,3,21.0,2,0,0,0,0,21.0,0,21.0,0
0,2,55.0,1,10,1,1,0,55.0,1,55.0,0
0,3,22.0,1,1,0,1,0,22.0,1,22.0,1
0,3,40.0,0,0,0,0,0,40.0,0,40.0,0
1,6,29.0,2,4,0,1,0,29.0,1,29.0,0
0,6,29.0,1,1,0,1,0,29.0,0,29.0,0
0,6,30.0,2,0,0,0,0,30.0,0,30.0,0
0,3,22.0,2,0,0,0,6,22.0,1,22.0,0
0,7,45.0,0,2,1,1,0,45.0,0,45.0,0
0,6,28.0,0,10,1,1,5,28.0,0,28.0,0
0,6,25.0,2,0,0,0,0,25.0,0,25.0,0
0,6,28.0,2,1,0,1,0,28.0,0,28.0,0
0,3,26.0,0,0,0,0,0,26.0,0,26.0,0
0,3,34.0,2,0,0,0,0,34.0,0,34.0,0
1,3,27.0,1,3,0,0,0,27.0,0,27.0,0
1,3,29.0,1,3,0,0,0,29.0,0,29.0,0
0,6,40.0,1,0,0,0,0,40.0,0,40.0,0
0,7,38.0,2,1,0,1,0,38.0,0,38.0,0
0,2,64.0,1,2,1,1,0,64.0,1,64.0,0
0,3,40.0,2,1,0,1,0,40.0,0,40.0,0
0,6,22.0,1,1,0,1,0,22.0,1,22.0,0
